task,duration,hours,confidence,interest,severity,years of experience,team size,,,,,
BPOSeats and Personal Board: Add an indicator for fetching cards on Personal Boards column view and BPOSeats board,10020000.0,16.0,8.0,8.0,1,2.108145106091720,55,,,,,
Create New Script: Applybpo transition to HQZen-Jobs Board: Verify that the Applicant is able to apply a job from the list available Job Postings from Jobs Board page,7705000.0,8.0,8.0,8.0,1,2.631074606433950,8,,,,,
HR Portal - Requirements : No success modal for rejecting a requirement,10911000.0,10.0,8.0,8.0,1,2.2477754962354600,47,,,,,
Investigate & Fix Pushy Crash on Android 12,3283216.0,12.0,7.0,10.0,1,2.841889117043120,22,,,,,
HR Portal- Requirements: Accept Button Not functioning,7343000.0,10.0,8.0,6.0,1,2.236824093086930,47,,,,,
HR Portal - Payrolls - Configure Payrolls: Category Name field is Highlighted in Red upon opening New Category modal,9816434.0,10.0,10.0,10.0,1,0.865160848733744,47,,,,,
SelectBoardModal Unit TestCase,20340000.0,4.0,5.0,5.0,1,2.8227241615332000,47,,,,,
Android : Tasks - User activity monitoring still appears on mobile when logged in to desktop,9416813.0,4.0,5.0,5.0,1,1.8453114305270400,22,,,,,
Write Unit Test for CardGroupForm,8580000.0,8.0,8.0,10.0,1,3.780971937029430,5,,,,,
Onboarding Board Assignment Modal Unit TestCase,5189000.0,8.0,9.0,9.0,1,2.8227241615332000,47,,,,,
Boards - Group Estimation : Negative values reflect upon clicking the skip button,2960889.0,4.0,5.0,5.0,1,2.2286105407255300,30,,,,,
Write Unit Test for PersonalBoardMobileResource,14971000.0,4.0,5.0,5.0,1,3.780971937029430,17,,,,,
Write Unit Test for SimpleSubTaskResource,9430000.0,12.0,8.0,10.0,1,3.780971937029430,5,,,,,
Write Unit Test for MobilePersonalCardResource(BaseCardResource):,9512000.0,10.0,8.0,10.0,1,3.780971937029430,17,,,,,
Write Unit Test for MobileCardAttachmentResource,9389917.0,11.0,8.0,10.0,1,3.780971937029430,17,,,,,
Write Unit Test for MobilePersonalBoardSubtaskResource,10379061.0,14.0,8.0,10.0,1,3.780971937029430,17,,,,,
Write Unit Test for SimpleTaskAssignmentResource,9326306.0,10.0,9.0,10.0,1,3.780971937029430,15,,,,,
Write Unit Test for MobileCardResource,11019000.0,11.0,8.0,10.0,1,3.780971937029430,17,,,,,
Write Unit Test for MobileBoardListing,12496296.951,10.0,8.0,10.0,1,3.780971937029430,5,,,,,
Write Unit Test for MobileBoardCardListing,13137579.0,12.0,8.0,10.0,1,3.780971937029430,11,,,,,
Write Unit Test for SimpleMilestoneResource,55288462.0,9.0,9.0,10.0,1,3.780971937029430,15,,,,,
Write Unit Test for MobileMilestoneResource,10727672.0,10.0,8.0,10.0,1,3.780971937029430,11,,,,,
Write Unit Test for MobileUserProfile,17223408.0,4.0,5.0,5.0,1,3.780971937029430,11,,,,,
Write Unit Test for MobileMilestoneMembers,17812000.0,4.0,5.0,5.0,1,3.780971937029430,17,,,,,
Write Unit Test for MobileCardDetailsResource,18261000.0,14.0,8.0,10.0,1,3.780971937029430,17,,,,,
Write Unit Test for MobileCardRequestResource,13808521.0,4.0,5.0,5.0,1,3.780971937029430,11,,,,,
Write Unit Test for SimplePersonalMilestoneRequestResource,322477578.0,8.0,9.0,9.0,1,3.780971937029430,15,,,,,
Write Unit Test for PersonalGoalMilestoneResource,817317077.0,16.0,8.0,10.0,1,3.780971937029430,17,,,,,
Write Unit Test for PersonalChallengeMilestoneCards,7511766.0,10.0,8.0,10.0,1,3.780971937029430,17,,,,,
CreateJobPostingModal.vue Unit TestCase,6048000.0,12.0,9.0,9.0,1,2.2642026009582500,47,,,,,
JobPostingSelectCard.vue Unit TestCase,10380000.0,4.0,5.0,5.0,1,2.113620807665980,47,,,,,
HandbookModal.vue Unit TestCase,6780000.0,4.0,5.0,5.0,1,2.113620807665980,47,,,,,
JobApplicationNotificationModal.vue Unit TestCase,7775000.0,3.0,10.0,10.0,1,1.7796030116358700,47,,,,,
JobOfferJobDescriptionModal.vue Unit TestCase,3360000.0,3.0,10.0,10.0,1,1.7796030116358700,47,,,,,
JobPostingLocationFilterDropdown.vue Unit TestCase,6891052.0,4.0,5.0,5.0,1,2.113620807665980,47,,,,,
NDASigningModal.vue Unit TestCase,6061000.0,4.0,5.0,5.0,1,2.236824093086930,47,,,,,
NDAViewConfirmationModal.vue Unit TestCase,3780000.0,6.0,10.0,10.0,1,1.7796030116358700,47,,,,,
PortalJobAcceptedCard.vue Unit TestCase,4740000.0,4.0,5.0,5.0,1,2.2477754962354600,47,,,,,
PortalJobCancelledCard.vue Unit Test,2948000.0,3.0,10.0,10.0,1,1.7796030116358700,47,,,,,
PortalJobDeclinedCard.vue Unit TestCase,6751000.0,4.0,5.0,5.0,1,2.113620807665980,47,,,,,
PortalJobNegotiationsCard.vue Unit TestCase,6660000.0,4.0,5.0,5.0,1,2.236824093086930,47,,,,,
PortalJobOfferCard.vue Unit TestCase,5940000.0,4.0,5.0,5.0,1,2.1820670773442800,47,,,,,
PortalJobPostingCard.vue Unit TestCase,4270000.0,4.0,5.0,5.0,1,2.113620807665980,47,,,,,
UploadResumeModal.vue Unit Tests,24741585.0,16.0,10.0,10.0,1,0.865160848733744,47,,,,,
CardConfigItem.vue Unit Test,1457511.0480000000,10.0,10.0,10.0,1,0.865160848733744,47,,,,,
ManagePresetModal.vue Unit Tests,3702000.0,4.0,5.0,5.0,1,0.865160848733744,47,,,,,
Onboarding Board Assignment Modal Unit Tests,12300000.0,4.0,5.0,5.0,1,2.113620807665980,47,,,,,
OnboardingCardDetails.vue Unit Tests,4150216.523,4.0,5.0,5.0,1,2.2477754962354600,47,,,,,
OnboardingSettingsSignatureModal.vue Unit Test,1080000.0,4.0,5.0,5.0,1,2.8227241615332000,47,,,,,
SaveConfigPresetModal.vue Unit Tests,13284011.0,4.0,5.0,5.0,1,2.113620807665980,47,,,,,
SelectPresetDropdown.vue Unit Tests,7178211.235000000,4.0,5.0,5.0,1,2.113620807665980,47,,,,,
Recruitment - Contracts: Use table design for consistency,1126000.0,4.0,5.0,5.0,1,5.429158110882960,41,,,,,
ContractReviewPage.vue Unit Test,4211000.0,4.0,5.0,5.0,1,2.2477754962354600,47,,,,,
JobOfferContractSetupPage.vue Unit Test,8984743.514,4.0,5.0,5.0,1,2.113620807665980,47,,,,,
JobOfferContractSummaryPage.vue Unit Test,12074049.627,4.0,5.0,5.0,1,1.8069815195071900,47,,,,,
JobOfferDetailsPage.vue Unit Tests,13854250.0,15.0,10.0,10.0,1,0.865160848733744,47,,,,,
JobOfferEmploymentSuccessPage.vue Unit Tests,8562085.0,10.0,10.0,10.0,1,0.865160848733744,47,,,,,
RecruitmentPage.vue Unit Test,5719000.0,4.0,5.0,5.0,1,2.113620807665980,47,,,,,
Job Offers: Cannot Send counter offer,8820000.0,4.0,5.0,5.0,1,3.800136892539360,22,,,,,
Personal Boards: Improve responsiveness of search bar and date picker on smaller screens,6836000.0,6.0,5.0,100.0,1,2.2477754962354600,41,,,,,
Board-Milestones: No hover effect and change color of X button in Criteria Section,1626000.0,4.0,5.0,5.0,1,2.108145106091720,23,,,,,
Goal Milestone: No indicator upon saving and when changes are saved,6420000.0,10.0,100.0,100.0,1,2.108145106091720,30,,,,,
Boards: No hover effect when close Icon on card details panel is hovered over,3027000.0,4.0,5.0,5.0,1,3.780971937029430,30,,,,,
|Reports: Screenshots and Activities should be applied in HQZen for Executives,6060000.0,14.0,10.0,10.0,1,1.8590006844627000,35,,,,,
Organization- HR Permissions: Vertical scrollbar is missing in selecting an employment policy,9060000.0,12.0,6.0,6.0,1,2.2477754962354600,35,,,,,
Organization - Executives : Incorrect Error message,2820000.0,8.0,9.0,10.0,1,2.2477754962354600,35,,,,,
HR Portal-Memorandums: No status filter,10877620.0,8.0,6.0,6.0,1,2.2477754962354600,35,,,,,
HR Portal-Memorandums: Creating a template without a title can be save,7140000.0,5.0,100.0,100.0,1,2.113620807665980,35,,,,,
Administration-Memorandums: Update the view of the template selection,7811590.259,4.0,5.0,5.0,1,3.3401779603011600,35,,,,,
Boards - Card: Adding of confirmation message for card estimators,12867285.0,4.0,9.0,9.0,1,1.5003422313483900,30,,,,,
Personal Board: Cards not reflecting,773000.0,4.0,5.0,5.0,1,2.631074606433950,23,,,,,
Boards - Cards: Infinite loading on task creation,2234000.0,10.0,10.0,10.0,1,2.2806297056810400,30,,,,,
Timelogs Page: Logs Tab,13052000.0,10.0,10.0,10.0,1,5.429158110882960,44,,,,,
Timelogs Page: Calendar Module,4560000.0,12.0,8.0,8.0,1,1.1827515400410700,44,,,,,
Timelogs Page: Summary Tab,8220000.0,12.0,8.0,10.0,1,1.1827515400410700,44,,,,,
Timelogs Page: Issues,13941677.0,24.0,10.0,10.0,1,1.1827515400410700,44,,,,,
Timelogs Page: Payslip,6101993.0,6.0,100.0,100.0,1,5.429158110882960,44,,,,,
Boards - Custom Column: Make the dropdown menu items visible,2820000.0,4.0,8.0,8.0,1,1.1827515400410700,41,,,,,
Feature Milestones: Cards Tab should Open as the Default Tab,16080000.0,10.0,100.0,100.0,1,1.864476386036960,30,,,,,
HR Portal-Departments: Add a Search Bar in selecting a workforce,4800000.0,6.0,9.0,9.0,1,1.9219712525667400,44,,,,,
Administration - Workforce - Employment Policies: Add an Actions column with a View button,2467000.0,4.0,5.0,5.0,1,1.73305954825462,44,,,,,
Scalema: Putting input field for Reason on reissuing a contract.,3000.0,5.0,9.0,9.0,1,1.78507871321013,24,,,,,
Boards - Cards: Add Icon for Pivotable task,3360000.0,4.0,8.0,8.0,1,2.2477754962354600,44,,,,,
Jobs Board: Send an Email Notification when Applicant applied for the Job Posting,6671000.0,12.0,8.0,10.0,1,2.2477754962354600,44,,,,,
HQZen: Add search bar icon on search timezone search bar,1356000.0,1.0,10.0,10.0,1,1.9219712525667400,44,,,,,
Boards - Progress: No skeleton loading while fetching data,9300000.0,4.0,8.0,8.0,1,1.5003422313483900,114,,,,,
Forms- Authored forms: Recipients status is put under submitted for a recipient who has not answered the form yet.,8820000.0,6.0,10.0,10.0,1,1.8590006844627000,35,,,,,
HR Portal-Memorandums: 2 input fields in the description by creating a template,9199000.0,6.0,10.0,10.0,1,2.2477754962354600,35,,,,,
Organization : Wrong redirection upon clicking Policy tabs,8880000.0,8.0,10.0,10.0,1,2.2477754962354600,35,,,,,
Administration - Departments: Assign manager modal message not contained well,5460000.0,4.0,10.0,10.0,1,2.113620807665980,35,,,,,
HR Portal- Sign in: Signing in using the username redirects the user to a different employees page,4380000.0,6.0,10.0,10.0,1,1.864476386036960,35,,,,,
Administration - Accountabilities: Change button to View Description,7290000.0,2.0,10.0,10.0,1,2.2477754962354600,35,,,,,
[Boards] - Milestone-Goal Milestones: Missing Members on some of the Milestones,5632000.0,4.0,5.0,5.0,1,1.3853524982888400,55,,,,,
[Boards] - Boards - Cards: Infinite loading upon saving when editing estimations,6470000.0,8.0,8.0,8.0,1,2.0752908966461300,30,,,,,
[Boards] - Boards - Cards: Questions for estimation does not reflect when creating/editing card,4752000.0,3.0,8.0,8.0,1,2.0752908966461300,30,,,,,
[Boards] - Boards: Board settings modal - Change of + Select members icon labeling,3259066.0,2.0,100.0,100.0,1,1.5003422313483900,30,,,,,
|Scalema: Reissuing a new contract,18540144.0,6.0,9.0,9.0,1,1.78507871321013,24,,,,,
Board - Card: Bulk selection option to mark subtasks as done,8120000.0,15.0,8.0,9.0,1,2.2477754962354600,44,,,,,
Administration - Workforce - Onboarding: Change the onboard new button design for consistency,840000.0,4.0,5.0,5.0,1,2.631074606433950,44,,,,,
Administration - Staff: Add an icon and the number of employees in Teams dropdown filter,3972000.0,2.0,9.0,10.0,1,1.9164955509924700,44,,,,,
Boards - Card - Card Details: Change the font color of the due date's text,11138000.0,5.0,8.0,8.0,1,1.9219712525667400,44,,,,,
Administration - Workforce: Employee count is inaccurate,7323000.0,8.0,10.0,10.0,1,2.2477754962354600,35,,,,,
Administration - Workforce: Employee count only shown when user is on Employee tab,8541277.0,4.0,5.0,5.0,1,2.2477754962354600,35,,,,,
Scalema - Client : Viewing the previous contract Trusted partner sent,14902543.811000000,7.0,10.0,10.0,1,1.787816563997260,23,,,,,
Employment: Add `is_onboarded` field,4146000.0,4.0,8.0,10.0,1,1.8069815195071900,36,,,,,
Job Offer's Actual Contract Property Refactor,6328000.0,4.0,8.0,10.0,1,1.7796030116358700,36,,,,,
Employment Contract on Effective Date Refactor,11281000.0,16.0,8.0,8.0,1,2.236824093086930,36,,,,,
HR Onboarding: Getting Started Board link was accessible on Existing Employees,6966077.0,5.0,9.0,10.0,1,1.8069815195071900,36,,,,,
Edit Contract Workflow: Creation of Employment Contract,11400000.0,16.0,9.0,9.0,1,2.2642026009582500,36,,,,,
Administration- Schedule Templates: Update button is not functioning,17040000.0,8.0,10.0,10.0,1,2.2477754962354600,35,,,,,
Administration-Workforce: Search filter on the Employees tab not working,5100000.0,8.0,10.0,10.0,1,1.864476386036960,35,,,,,
Administration-Workforce: Count on the Applicant Requirements tab doesn't seem to match the items displayed under the tab.,3698634.0,4.0,5.0,5.0,1,2.113620807665980,35,,,,,
Administration - Platform Settings: Double loading upon searching and clearing search,4084000.0,6.0,9.0,9.0,1,1.864476386036960,35,,,,,
staff- 201 files: memorandums only show after searching for anything and clearing the search.,6971000.0,6.0,9.0,9.0,1,1.864476386036960,35,,,,,
Milestones: Change the placeholder of the filter and sort milestone dropdowns into its default value,5570000.0,4.0,5.0,5.0,1,1.730321697467490,44,,,,,
|Scalema - Trusted Partner - Client Queries View: Implement a Name,6042000.0,8.0,10.0,10.0,1,2.2477754962354600,44,,,,,
Job Posting Model Changes,7458610.0,5.0,9.0,9.0,1,3.3401779603011600,35,,,,,
Integrate add and remove applicant to an existing Internal Job Posting,13869322.0,4.0,5.0,5.0,1,4.413415468856950,35,,,,,
Modify Job Offer Modal,16849000.0,14.0,10.0,10.0,1,1.864476386036960,35,,,,,
Include shift boundaries in calendar view for scheduled tasks,9106925.0,7.0,8.0,8.0,1,1.9219712525667400,44,,,,,
Email Notification: Applicant without HQZen account,18000000.0,12.0,10.0,10.0,1,2.2477754962354600,35,,,,,
HR/Policy: Text misalignment and no redirection on Cancelled Job Offer email notification,4920000.0,6.0,10.0,10.0,1,1.8069815195071900,36,,,,,
HR Portal-Leaves: Empty state displays after clearing the search bar,4718000.0,6.0,9.0,10.0,1,2.236824093086930,36,,,,,
Recruitment: Send Job Offer - The Start of employment date is not well contained on the send job offer page.,5509000.0,4.0,5.0,5.0,1,1.7467488021902800,36,,,,,
HR Portal- Incident Reports : Incorrect error message,2377075.0,4.0,5.0,5.0,1,1.730321697467490,36,,,,,
Recruitment - Search Schedule bar does not fetch results,7645000.0,4.0,9.0,10.0,1,1.8069815195071900,36,,,,,
Recruitment-Send Job Offer: Disabled breadcrumbs when viewing the details,8991000.0,4.0,5.0,5.0,1,4.91170431211499,36,,,,,
Jobs Board: Reflect automatically on the specific column assigned,6375520.0,8.0,8.0,8.0,1,2.113620807665980,36,,,,,
[Automation]: ApplyBPO Smoke tests rehash,11237000.0,4.0,5.0,5.0,1,2.0561259411362100,7,,,,,
Recruitment-Send Job Offer: Selecting the newly preset will not go back to an empty field.,5258047.0,10.0,8.0,8.0,1,2.113620807665980,36,,,,,
Recruitment - Send Job Offer: Set Date Picker to display Upwards,3255398.0,4.0,9.0,8.0,1,2.8227241615332000,36,,,,,
Accountabilities: Missing actions column,7642000.0,14.0,10.0,10.0,1,0.865160848733744,36,,,,,
Board - Card - Activity: Fix activity pane responsiveness,2025000.0,3.0,8.0,9.0,1,1.9219712525667400,44,,,,,
Administration - Workforce: Make the compensation column design consistent,7693000.0,4.0,10.0,10.0,1,1.1827515400410700,44,,,,,
Board - Card - Progress: Fix progress pane responsiveness,3990000.0,4.0,9.0,10.0,1,1.9164955509924700,44,,,,,
Administration - Workforce - Onboarding: Adjust the gap between the view and action buttons,3000000.0,4.0,10.0,10.0,1,1.1827515400410700,44,,,,,
Organization - Employment Policies - New Employment Policy: Use the dropdown component for selecting a region,4558000.0,4.0,9.0,10.0,1,1.9164955509924700,44,,,,,
Boards: Remove the extra spacing above the card creation modal title,2520000.0,4.0,5.0,5.0,1,1.998631074606430,44,,,,,
HR Portal - Employees: Edit schedule modal UI issues,4061000.0,8.0,8.0,8.0,1,1.1827515400410700,44,,,,,
Administration - Workforce - Employment Policies: Redesign summary page,1215329710.0,4.0,5.0,5.0,1,2.8993839835729000,44,,,,,
Boards: Adjust the spacing values of the icons in the sidebar,5107000.0,4.0,5.0,5.0,1,1.730321697467490,44,,,,,
Jobs Board: Change the location dropdown label to the country chosen as filter,5211000.0,3.0,90.0,100.0,1,1.9164955509924700,44,,,,,
Scalema - Trusted Partner : No error message is displayed upon clicking the reissue button without changing template,8247334.000000000,4.0,5.0,5.0,1,1.78507871321013,23,,,,,
Create a resource based-off of Comment Models for sending Inquiries,15480000.0,10.0,10.0,9.0,1,2.8227241615332000,36,,,,,
Expiration Countdown When Job Offer Has Been Sent,5003000.0,10.0,5.0,6.0,1,1.3278576317590700,36,,,,,
Get total counts of unread inquiries on the Employer's View,5937945.0,8.0,8.0,8.0,1,2.113620807665980,36,,,,,
Implement count of unread messages per applicant,8954198.0,8.0,8.0,8.0,1,2.113620807665980,36,,,,,
Implement redirection to Job Offer Details Modal on Chat Page,6720000.0,10.0,5.0,5.0,1,1.3278576317590700,36,,,,,
Implement job-offer-negotiation resource if Job offer is sent,24672000.0,16.0,9.0,9.0,1,2.2642026009582500,36,,,,,
Implement Sending of Inquiries on both Employer and Applicant View,14522578.0,10.0,10.0,10.0,1,0.865160848733744,36,,,,,
Fetch inquiries on the Applicant View Integration,89423675.0,8.0,10.0,10.0,1,0.865160848733744,36,,,,,
Fetch all inquiries on the Employer View Integration,27495000.0,16.0,9.0,9.0,1,2.2642026009582500,36,,,,,
Fetch details of each inquiry on the Employer View Integration,14880000.0,16.0,9.0,9.0,1,2.2642026009582500,36,,,,,
Email Notification: Applicant without HQZen account,7273000.0,4.0,8.0,10.0,1,2.2477754962354600,44,,,,,
Recruitment-Send Job offer: No arrow dropdown to view the policies and applicant Requirements of the employment policy,6085000.0,8.0,85.0,95.0,1,1.9164955509924700,44,,,,,
Administration - Schedule Templates: Modify the design of the view schedule templates modal,6244000.0,9.0,8.0,9.0,1,2.2477754962354600,44,,,,,
Boards - Custom Column: No options displayed upon clicking the meatball icon,8460000.0,6.0,9.0,9.0,1,1.5003422313483900,30,,,,,
Board - Cards: Linking card should be done in both sides,2330000.0,4.0,5.0,5.0,1,2.0752908966461300,55,,,,,
Employee Information - Time Log: Inconsistency of status indicator,7560000.0,4.0,5.0,5.0,1,2.2477754962354600,35,,,,,
Forms: Addition of Goal Milestone Details Modal on Personal Goal Forms,11914533.0,10.0,10.0,10.0,1,1.864476386036960,35,,,,,
HQZen Get Started Page: z in HQzen isn't in Uppercase Letter,3480000.0,4.0,5.0,5.0,1,1.730321697467490,35,,,,,
Scalema - Trusted partner: Replace the wordings used at the bottom of the column that has cards,4537900.0,4.0,5.0,5.0,1,1.787816563997260,24,,,,,
Administration-Onboarding: Hide column sorters on single row data on Configurations and Members tabs,1080000.0,2.0,9.0,9.0,1,1.9219712525667400,44,,,,,
HR Portal - Payroll Issues: Indicate the schedule of employee in modal,6210000.0,2.0,100.0,100.0,1,1.9219712525667400,44,,,,,
Boards - Modify the highest point of the scrollbar for a board column,964228968.0,4.0,5.0,5.0,1,2.8993839835729000,44,,,,,
Org/Workforce Exec - Recruitment: Expired Job Offer cannot be moved to Archive,8772000.0,8.0,9.0,9.0,1,2.2642026009582500,36,,,,,
Feature Milestone: Add confirmation modal after document is acknowledged,4947000.0,5.0,90.0,90.0,1,1.9219712525667400,44,,,,,
Job Offer: Add an indicator for the contracts with unfilled fields,10842000.0,6.0,10.0,10.0,1,1.9219712525667400,44,,,,,
Feature Milestone: Cannot Delete URL/Document,9060000.0,4.0,100.0,100.0,1,1.864476386036960,30,,,,,
Create New Script: Departments-Verify that HR can delete a department,6240000.0,4.0,10.0,10.0,1,2.858316221765910,8,,,,,
Recruitment- Editing a job posting: The schedule disappears upon clicking edit button.,5207000.0,5.0,8.0,10.0,1,1.8069815195071900,36,,,,,
Onboarding-Create Configuration: New applicant that accepted the job offer is not reflected in adding a member for onboarding,5160000.0,6.0,9.0,10.0,1,2.236824093086930,36,,,,,
Job Offer Transition-Negotiations: Accept offer button is enabled when countering back the offer on contracts and the job offer tab,5400000.0,4.0,9.0,10.0,1,1.8069815195071900,36,,,,,
Leave Request: Display the details and signature of the user who approved or rejected the request,9129000.0,12.0,9.0,8.0,1,2.236824093086930,36,,,,,
HR Portal-Employment Activation: Adding workforce filter for pending and accepted tabs,11230174.0,6.0,10.0,10.0,1,0.865160848733744,36,,,,,
HR Portal - PCN: Previous allowance reflected after the merit increase was approved and acknowledged by employee was changed,9724297.0,8.0,8.0,8.0,1,2.113620807665980,36,,,,,
|Jobs Board : Fixed placement of Search Options,7350287.0,11.0,9.0,7.0,1,1.3278576317590700,36,,,,,
Scheduled Tasks into Milestone,6576000.0,20.0,80.0,100.0,1,1.1827515400410700,44,,,,,
|Desktop || Refactor pivot button|,8722000.0,5.0,80.0,100.0,1,2.2477754962354600,44,,,,,
Onboarding - Create Configuration: List of Boards overlaps Cancel and Save Button,4877000.0,5.0,9.0,9.0,1,2.8227241615332000,36,,,,,
Administration - Onboarding: Search participant search bar not functioning,12064278.980000000,6.0,8.0,10.0,1,1.8069815195071900,36,,,,,
Administration - Onboarding: Count not displaying on cards tab,6600177.0,3.0,9.0,10.0,1,1.8069815195071900,36,,,,,
Job Offers: Wrong time upon accepting Job Offer,4511000.0,6.0,7.0,7.0,1,2.236824093086930,36,,,,,
Employment - PCN: Infinite loading on PCN when employee has no Department,1300000.0,10.0,8.0,8.0,1,2.113620807665980,36,,,,,
Jobs Board: Need to change the naming and color of the confirmation modal button of declining a job offer.,4620000.0,4.0,9.0,10.0,1,1.1827515400410700,44,,,,,
Notifications: Read and Seen labels are confusing,4440000.0,4.0,5.0,5.0,1,2.2669404517453800,44,,,,,
Boards - Create Feature Milestone: Remove extra lines,2092000.0,1.0,10.0,10.0,1,1.9219712525667400,44,,,,,
HQZen Administration: Typo/wrong word on `Memorandums` navigation bread crumb.,2491000.0,4.0,10.0,10.0,1,1.8590006844627000,35,,,,,
Forms: Add another option button doesn't function on Multiple Choice and Dropdown type of question,7950000.0,12.0,10.0,10.0,1,1.864476386036960,35,,,,,
Forms: Linear Scale cannot be selected as the type of question when creating a form,4260000.0,4.0,5.0,5.0,1,1.730321697467490,35,,,,,
HR Portal-Memorandums: Update the view of the template selection,9742000.0,4.0,5.0,5.0,1,1.730321697467490,35,,,,,
Administration-Workforce: Profile picture not displayed on workforce when user deletes existing picture and uploads it again,19620000.0,12.0,10.0,10.0,1,2.2477754962354600,35,,,,,
Schedule Templates: Close button overlapped on a Long Text Title,5966000.0,4.0,10.0,10.0,1,2.2477754962354600,35,,,,,
Email Notification: Pending Employment for Activation,15633000.0,12.0,7.0,10.0,1,1.8069815195071900,36,,,,,
Hqzen- Terms and Conditions/ Privacy Policy have the same content,3420000.0,4.0,5.0,5.0,1,2.2669404517453800,44,,,,,
Operations - Card : Extra space upon editing font size,14513571.0,4.0,80.0,90.0,1,1.2320328542094500,29,,,,,
Organization Settings - Executives Subpage: Status Column Header is Missing,6180000.0,4.0,10.0,10.0,1,2.2477754962354600,35,,,,,
HQZen Help Center - Edit Topic: Clicking Back button when editing a Topic redirects to first Category on List,120000.0,4.0,5.0,5.0,1,2.0150581793292300,11,,,,,
HQZen Help Center: Deleting a Topic within specific category redirects to first Category on List,483601.0,4.0,5.0,5.0,1,4.355920602327170,11,,,,,
HQZen Help Center - Create Topic: All file types can be uploaded on the Subtopic Steps's Image Upload,3000000.0,4.0,10.0,10.0,1,2.2477754962354600,11,,,,,
HQZen Help Center - Create Topic: All file types can be selected for the Subtopic Video Upload,3755000.0,8.0,10.0,10.0,1,2.2477754962354600,11,,,,,
MessageThreadStatus Model Creation,9900000.0,4.0,5.0,5.0,1,1.7796030116358700,36,,,,,
Boards - Operations : Cannot forward issue to designated board,7099000.0,8.0,10.0,10.0,1,2.2286105407255300,30,,,,,
Boards - Cards: Subtasks not seen on card details panel,2055000.0,4.0,5.0,5.0,1,2.2806297056810400,30,,,,,
Boards: Cancel button unresponsive on walk through modal,1020000.0,1.0,80.0,80.0,1,2.236824093086930,30,,,,,
Administration - Templates: Filtering Memo Category will display an empty state,8324000.0,10.0,7.0,9.0,1,1.2813141683778200,35,,,,,
Demo Request: Banner Placeholder Image is Broken,6540000.0,4.0,10.0,10.0,1,1.864476386036960,35,,,,,
Administration - Schedule Templates: Incomplete Title on Breadcrumb,7860000.0,3.0,10.0,10.0,1,3.3401779603011600,35,,,,,
Administration - Workforce - Onboarding: Make the header clickable,5217000.0,4.0,5.0,5.0,1,1.730321697467490,44,,,,,
Recruitment - Job Postings: Disable the flickering effect on Job postings,8040000.0,8.0,80.0,100.0,1,1.1827515400410700,44,,,,,
